location,lat,lon,entry,ratingDate,rating,sentiment,reviewertitel
"Swindon, United Kingdom",51.5557739,-1.7797176,"
The views from this mountain were quite magnificent. The Geology around the area is fascinating and it was not cold up high as suggested. We went up in a Land Rover Defender which was quite cramped with 8 people aboard. However the guide was very good.
","Reviewed October 11, 2012
",5.0,0.421,Senior Contributor
Charlottesville,???,???,"
Very interesting to be on Europe's tallest, active volcano. Very interesting information given by the guides and magnificent views. Don't miss it!
","Reviewed October 9, 2012
",5.0,0.573958333333,Contributor
"Uckfield, United Kingdom",???,???,"
what a wonderful site! the view of Sicily is so overwhelming and majestic! so much to see!<br />We didn't do the excursions because it's a little bit expensive even if it's a one life time opportunity!! but you have the possibility to take the cable car or &quot;funivia&quot; (28.75€/person) which get you in the middle of the volcano and you can still enjoy a little walk and get back without paying too much! (65€/person for the excursion to see the higher crater).
","Reviewed October 9, 2012
",4.0,0.113423295455,Senior Reviewer
Malmesbury,???,???,"
So very different fom the rest of Sicily, a huge smoking volcano. We had a guide who took us to extinct lava cones and a lava cave,<br />.
","Reviewed October 8, 2012
",4.0,1.85037170771e-17,Contributor
Ontario,???,???,"
We took a morning tour to the 1800 meter (6000feet)elevation base. It was cool seeing smoke rising from the crater as we were ascending. Lots of old Lava on the sides of the mountain. At one point our guide got us inside a 60 meter lava cave. Very cool.<br />The view was at least 100Km(65miles) in all directions. We could see Siracusa.<br />Not worth paying the extra 37 euros to take the cable cars to a higher elevation as the view is the same but you still don't see the crater.
","Reviewed October 8, 2012
",5.0,0.0111111111111,Top Contributor
Cornwall,50.5036299,-4.6524982,"
This was the one trip we did in Sicily where we used a guide and were thankful that we did. We booked our trip through our hotel, the Casale Romano, which is sited to the north of Etna. We were picked up from the hotel and taken to the cable car from where we did a really interesting treck round the craters of the 2002 eruption. We did not go to the top of the mountain. Our guides were two young students who were really knowledgeable and were very good at imparting that knowledge to us. They kept their talks short and frequent so we had plenty of breaks and everybody could keep up with the pace. We were delivered back to the hotel after six hours away. We were pleasantly tired and had had a thoroughly enjoyable experience.
","Reviewed October 8, 2012
",5.0,0.222272727273,Senior Contributor
"Birchington, United Kingdom",51.373347,1.306532,"
We went with a geologist booked by ur hotel on the 1st October 2012. What a fantastic day out! Beautiful landscapes to view from the top, very interesting lava flows and being able to see the history close up was amazing.<br /><br />I wuld suggest having a small group and going with a guide, as otherwise you will miss many amazing features on the trip
","Reviewed October 8, 2012
",5.0,0.48125,Senior Reviewer
"Newbury, Berkshire.",51.401409,-1.3231139,"
We visited Mount Etna from Catania and decided to go DIY rather than an escorted tour so that we could spend more time there without rushing up and down. There is only one bus a day there and back from Catania leaving from the bus station by the railway station at 8.15am and returning from Mt Etna at about 4.30pm (cost about £8.00 I think). Transport is by air condition comfortable coach and takes about an hour and a half. The bus drops off at the car park at Refugio Sapienza where there is a number of bars, touristy shops, etc. I think there is also a crater to investigate at this level if you don't want to go any further. We then took the cable car (about 28 euro each) up to the next station. There is also a shop, restaurant, toilets, etc. here and this is where you can hire jackets,etc. We decided to hike to the top from here, alternatively there is a 4 x 4 bus to drive you up (about another 30 euro each). Make sure you wear sturdy boots/trainers as some of the path is very, very loose and also take a jacket ready for the fall in temperature. We are in our fifties and certainly didn't rush to the top - with plenty of photo stops it probably took us about one and a half hours (obviously less time to go back down!). However you decide to see this wonderful mountain it will be worth it.
","Reviewed October 3, 2012
",5.0,0.155416666667,Senior Contributor
"Brighton, Michigan",???,???,"
You can see Mount Etna from a distance. That is the best way to see it. In most countries national parks are taken care of. Not here. As we drove to the national park there was trash all over. Tires on the volcanic fields. Loads of bottles and trash dumped at the side of the road and on the hillside. Next to the billboards was all the used paper from the previous advertisements. At the base where you take the gondola ride the volcanic fields were full of debris. I did not even want to take a picture. If they take care of the national park this way I can't even imagine what the rest of the island looks like. Our tour guide told us this was due to the divisions of government. Cities, regions and municipalities all arguing on who's job it was to keep the park clean. This is a disgrace for Sicily. Shame on you!!!
","Reviewed October 3, 2012
",1.0,0.128891782407,Senior Contributor
Nicolosi,37.6174952,15.0240927,"
Anice scenic drive gets you to the North side, which offers easy hiking for the family. Our 2 and 4 year old had a great time as well.
","Reviewed October 3, 2012
",4.0,0.358333333333,Reviewer
"Ottawa, Canada",45.4215296,-75.6971931,"
We arrived at Mt Etna on our own by car and learned too late that the mid morning is a bad time to arrive. All of the tour buses arrive @ 10-10;30 so there is a huge bottle neck to get up on to the gondola and it is not organized so people are pushing to get ahead. On our way down, after taking the truck to the top about 2 hours later, there was not a sole waiting to get on to the gondola.<br /><br />The experience is well worth the money which is @ 60 euro per person to get to the top ( plus an extra 4 euro for parking) but if you are on your own and can arrive closer to noon, you will have a much more enjoyable experience.<br /><br />Another note, you pay as part of the fee, a 9 euro obligatory charge for a guide at the top. We never saw one so you may want to enquire how to access the tour that you are paying for.
","Reviewed October 3, 2012
",5.0,0.207986111111,Top Contributor
"Liverpool, United Kingdom",53.4083714,-2.9915726,"
We used the etnatribe service. Franchesca our guide was excellent, her English was very good and she answered all our questions easily. It was expensive to go up the cable car but we enjoyed the experience of being on the pumice field near the craters.<br />You don't need the guide at the top, it wasn't worth the extra 10 E each but do head up.
","Reviewed October 2, 2012
",4.0,0.305,Reviewer
"Newcastle upon Tyne, United Kingdom",???,???,"
I am passed climbing to the crater but did go up in the cable car the views out to the Med and surrounding area was spectacular as was the road up we went twice approaching from different sides and the scenery was so different Plenty of tourist tat shops if you want a momento
","Reviewed October 1, 2012
",5.0,0.15,Senior Contributor
"New York City, New York",40.7143528,-74.0059731,"
If you are in Sicily a trip to Mt Etna is a must! We toured the active volcano through a group called Sicily Life who are able to arrange your transportation and provvide a guide. Corrado was the guide for our trip from Sicily Life and he was so informative and knowledgeable about the three active periods of the eruptions and explained the topography on how you track the time lines and the vegetation and it was not boring! It had a certain amount of intrigue. I would highly recommend Sicily Life for this tour. We used this company for many of our other excursions...all we can say is that Sicily Life makes your travel so easy and comfortable. We will definitely use them agai should whe. We return!!!
","Reviewed September 30, 2012
",5.0,0.129188988095,Reviewer
,???,???,"
I chose Excursions in Sicily for a trip to Etna. I was picked up from my hotel at 9.00 am by Danielle. There were just two of us on the tour which made for a very relaxed and flexible day. As well as being a informed and knowledgable guide in English, Danielle skillfully and safely negotiated the traffic in Catania. This was a great tour with a charming and accommodating guide.
","Reviewed September 29, 2012
",5.0,0.425,Reviewer
West Yorkshire,53.8108176,-1.76261,"
An experience not to be missed. The scenery is fascinating and thought provoking - you can see the tops of houses just showing above the lava on the way up the mountain - and yet it is beautiful. We only went to the last refuge by coach but you can go higher up by cable car. Remember to take something warm to wear, though, because after the temperatures lower down it feel positively chilly!
","Reviewed September 29, 2012
",5.0,0.178395061728,no status
"Taunton, Somerset",51.015344,-3.106849,"
Much better than we thought - the scenery is amazing as it changes from gently wooded slopes and much greenery to acres of black lava streams - we only went to the last refuge by car as we were not equipped to go higher but the views were stunning - the route up from the south is much more barren and the route down the other side is prettier and better views of the three craters at the summit but still studded with lava flows and mounds where steam has escaped and shows how close to towns the lava flow has come. The little exhibition at the refuge with photos and a film is worth going to as it explains about the eruptions - you will probably end up having to pay some local a few euros to &quot;explain&quot; the photos in very broken English and to give you a cake and cheese (although the exhbition is free) and then pay another local to go to the loo but that is part of the Siciian experience - there was even someone on the way back at the ticket machine on the autoroute taking the tickets out and giving them to you in exchange for payment
","Reviewed September 27, 2012
",5.0,0.109298941799,Senior Contributor
rhode island,41.5800945,-71.4774291,"
When viewed from the town it dominates the horizon when you hike it you could be on the moon.We hiked around some craters created in the 1980's some plant life is trying to grow again but the terrain is otherworldly.
","Reviewed September 27, 2012
",5.0,0.0,Contributor
"Abu Dhabi, United Arab Emirates",24.4666667,???,???,"
We went up to Rifugio Sapienza (RS) in the bus which starts in Catania. We boarded the bus in Nicolosi at about 0915 hrs and within next half hour we reached RS. There a host of souvenir shops at the place where the bus drops you. You can hire some private guide as a group or you can walk straight up to funivia dell'etna and get tickets for EUR 60 each. We got discounted tickets for EUR 50 each as our B&amp;B gave us a voucher. The views from top were breathtaking though it was a cloudy day. Its a great experience standing on an active volcano.<br /><br />Some points: <br />A jacket is a must up on the mountain. You can bring your own or hire one for EUR 2 at the juncture between the cable car ride and the 4x4 ride. <br /><br />If you have a baby stroller, try not to take it up the mountain as you can't push it on that moon like terrain unless the stroller has big wheels. And also, it is difficult to get on those 4x4s with your stroller. You can leave it at the place where you are able to hire the jacket.<br /><br />At the same place, use the toilet if you need to because I don't think there is one at the top for public use.<br /><br />If you are taking the bus from Catania or Nicolosi, you should know that there is only one bus up at the time I mentioned and the same bus sits on top of the mountain near a restaurant (which is further up than where it leaves the passengers) until 1630 hrs and returns the same way. We couldn't find an alternative way down to Nicolosi but spent some time in that restaurant where the driver of the bus kills time with his friends playing cards the whole day.
","Reviewed September 26, 2012
",5.0,0.160185185185,Senior Reviewer
Barcelona,41.3850639,2.1734035,"
This is not to be missed.<br />Two things that are essential (at least in the summer, the season we went there). <br />Get up early because in the afternoon it clouds up and they might even close down the route.<br />Second, do NOT try to take the northern route as some tour books suggest as that area is impossible to get to. Go to the Refugio Sapienza and from there take the cable car (no booking necessary: it's continuous).<br />At the top you can continue with the SUVs there for a price, or if you're in walking shape, you can walk the to the highest point allowed (about an hour and a half one way).<br />And, oh yes, bring warm clothing. We were there in the midst of an otherwise scorching August and we were still cold (it was about 5-10 degrees at the top).<br />The parking? There are a couple spots really near the cable car and a &quot;parking attendant&quot; will help you manouver for a couple of Euros.
","Reviewed September 26, 2012
",5.0,-0.0444444444444,Senior Contributor
"Billericay, United Kingdom",51.627903,0.418397,"
Very expensive cable car ride - plus bus to summit, but you just have to do it. try to avoid the crowds and tourist groups that have limited time.
","Reviewed September 25, 2012
",3.0,-0.360714285714,Senior Contributor
"Veldhoven, The Netherlands",51.418099,5.405272,"
Take the opportunity to go to Etna and up on the cable car, which is the easiest route costs about 60 euros in all but in general worth it.<br />Stunning views but a bit too commercial. The guides are worth listening to but not for thoose who want more scientific knowledge.<br /><br />Took our own hire car and drove up the wiggle lanes to reach the ski resort from Zafferance and back via Nicolosi. Its not that difficult and worth doing.<br /><br />Went in September and some times you dont get the best views of Etna because of low cloud.<br /><br />You are allowed to walk the route up to Etna, but suggest you are good walkers with the right equipement as this is a mountain not a casual weekend hike. Good walking shoes, and usual mountain hiking rules apply. I would not want to walk this in the height of summer, the sun and the mountain would be far too hot but if you are young and fit go for it.
","Reviewed September 25, 2012
",4.0,0.211785714286,Reviewer
"Rio de Janeiro, RJ",-22.9035393,-43.2095869,"
If you are visiting Taormina or Siracusa, don't miss a visit to the mighty Etna. I was not expecting much out of it but at the end I was impressed by the views and the experience of getting so close to the craters in a moon-like landscape. If you are coming by car it takes a while to make your way through the winding roads until you get to parking place next to Cratera Silvestri at 2000 meters which was interesting but not comparable to the top. From there you take a cable car and then a 4x4 shuttle bus to 2950 meters driving on a small road that goes through the lava fields. Several people do that part on foot but I don't recommend it if you have small children or you are not in a good shape, it is a long walk up. At the bus stop, a guide takes you to nearby craters (you will see steam coming out of the cracks on the ground) but the views and the topography made by the eruptions are quite amazing. If you want to continue and hike put to the top (3350mts) you need a guide but it gets much more challenging from there and we skipped the last part. It costs 60 euros for cable car plus shuttle or 29 euros for cable car only. A true experience where you realize nature's strength as you look down at the Sicilian coastline!
","Reviewed September 25, 2012
",5.0,0.260160818713,Senior Contributor
Scunthorpe,???,???,"
We paid for a personal tour and visited Etna, followed by a wine tasting and brunch at the highest vineyard on Etna. This was followed by a visit to the Alacantra Gorge. I think the name of tour operator was BD Viaggi. (Hotels carry brochure)<br /> The trek over Etna included was brilliant it cost us €132 each for the day but if you want a special day well worth every penny. The wine was excellent and you had a good variety for tasting also a tour of the winery.
","Reviewed September 24, 2012
",5.0,0.534523809524,Senior Contributor
"Barrie Ontario, Canada",44.3780902,-79.7016159,"
Spectacular. We took the lift and the shuttle to the top. It cost 60 euros each and it is easily worth every cent. It was spectacular to walk around the craters and take in the views. It was a clear day and we could see for miles. Incredible attraction that is a must see!
","Reviewed September 24, 2012
",5.0,0.545833333333,Senior Contributor
Dublin,???,???,"
Although while on Sicily wherever you are Mt Etna is visible, upclose it is truly impressive. We drove up through Pachino and it took approx 1.5 hours from Catania. About half way up we stopped and there were lots craters that we walked around and collected rocks. The views were amazing. It was v cold and dusty so wear closed shoes and layers of clothes. Unforgettable
","Reviewed September 23, 2012
",5.0,0.161904761905,Top Contributor
London,???,???,"
Paolo was an absolutely outstanding guide in every sense. The tour showed us places we would never have found ourselves and was full of interesting facts and information. Lunch was exceptional. Paolo was kind enough to even ask his wife to help us with our shopping for our sailing boat tour in the Isole Eolie. He then drove us an hour and a half north to the harbour where we had rented our sailing boat, for a small fee we had pre-organised. I could not recommend this company more highly.
","Reviewed September 23, 2012
",5.0,0.3,Senior Reviewer
new jersey,40.0583238,-74.4056612,"
The old lava flows and multiple craters are awe inspiring. Suggest a good guide and four wheel approach to really it up close and personal.
","Reviewed September 22, 2012
",4.0,0.208333333333,Senior Contributor
"Hong Kong, China",22.396428,114.109497,"
Driving up the Etna is quite a trip: the Mountain (as they call it in Catania) slopes directly from the sea up 3000 meters. While driving the changes are incredible as in a very short time we'll pass from seaman villages, to orange orchards, vineyards and real mountain villages. Then after a turn in Nicolosi we're on the moon or something very close to the Moon. Driving up the lava space and colours change from brown to grey to black and not in sequence. There are the remains of a forest with huge Pine trees and Huge Chestnut trees. The volcano is well organized and is possible to move all the way up in different ways. However is not at all recommended to go alone. The volcano is tricky and hides different dangers especially near the top. The best will be to spend the night and wait for sunrise. If the air is clear you can see all the way to Malta.
","Reviewed September 22, 2012
",5.0,0.238888888889,Contributor
"Navi Mumbai, India",19.0330488,73.0296625,"
Italy artists retreats allow you to truly experience creative energy. Working with other artists will naturally stimulate your creativity. Just imagine being at a studio on a mountaintop in Italy, no traffic, no noise other than the sounds of the wild cuckoo bird—just you and your creativity being unleashed. When you Experience Italy, all you need to bring with you are your paintbrushes. All supplies are furnished at our studio. When you Experience Italy, you will paint plein air in the surrounding countryside or the picturesque medieval hilltown of Pietralunga which is our home base.
","Reviewed September 22, 2012
",5.0,-0.075,no status
Athens,???,???,"
You know you'll regret it if you are this close and don't take advantage of one of the many guided tours on offer. We opted for the half-day morning tour, going to one of the craters on the slope of the mountain, which turned out to be just right as we are a bit too old to hike on to the top. Besides, clouds often move in quite swiftly, and those who do go on up often find they can't see a thing because they are enveloped in a cloud.
","Reviewed September 20, 2012
",5.0,0.257142857143,Senior Contributor
London,???,???,"
That is an extended analogue of a bus tour offered in Sicily: Taormina-Mount Etna. We made this trip with my wife mid-September 2012.<br /><br />We hired a Fiat 500 at Avis (office at Via Francesco Crispi 250) at 9am on Saturday (£40 for two days, I have my own annual insurance) and made our way along the sea shore and port towards the highway A19 to Catania. The streets are narrow and relatively well marked, so if you drive at a modest speed you will not miss it.<br /><br />The highway (autostrada) is quite good and the speed limit is 130km per hour which would allow you to get to Catania in two to three hours depending on the traffic. Once in Catania you'd better find parking rather than leave your car on the street. There are quite a few of them around the town centre and closer to the sea. We made a mistake of parking too far from the town centre and had to walk a distance. The normal parking charge is 0.75 to 1 euro per hour. We spent afternoon in the town and were off on the road at 5pm. We aimed at Paradise Camping which is situated in the lively area and has its own beach. To get there you have to take a highway Catania -Messina and exit roughly half way at Taormina. The highway is paid (c.1.7 euro). Once you exit the highway, immediately after the toll keep right and look for a brown sign Al Mare. Then on the first crossroad turn left in the direction of Messina. Keep driving for five km. Again, it is a narrow road along the sea so if you drive carefully you won't miss a sign 41km on your left and 'Paradiso Campeggio' on your right.<br /><br />The night in the camping for two people with a car and a tent will cost around 20 euro and you will get an immediate access to the beach, fantastic views of mainland Italy across the sea as well as a restaurant-pizzeria, bar, shop, and showers. You can play football and tennis there too.<br /><br />Early in the morning we left for Etna. We went back to Taormina and then drove towards Catania, exited at Giarre and followed the signs to Etna Sud (via Santa venerina - Zafferana Etna). The road is pretty good, but you have to be careful as you are moving up in the mountains. There is a lovely village you will pass by. I still regret that we didn't make a stop for coffee there. There are several parking spaces at the top of the volcano (Parking Crateri Silvestri), the first one being free. There are coffee-shops, restaurants and souvenir shops. Make sure you try pistachios in various forms - this taste is still with me.:) you can then either walk around and see recent craters or make your way up to the highest point (this is with a guide only).<br /><br />On the way back we got to Taormina, an old Greek town with a Greek amphitheatre, churches and pretty streets.<br /><br />We returned to the camping site late in the afternoon, spent it on the beach and then dined at the terrace over the sea. The restaurant prices are very modest there, so a dinner for two with no wine cost us c.20 euro. We went to sleep at 9pm to wake up at 5.30am so that we could return our car to Avis at 9am. Due to traffic first in Catania and then in Palermo we were a bit late though so you might think of starting earlier or having your car return time slightly later in the day.
","Reviewed September 19, 2012
",5.0,0.144238095238,Senior Reviewer
"Newtown, Pennsylvania",???,???,"
Did etnaexperience.com tour - low key (not a full hike to top) - but a good day - some hiking, low-key spelunking and saw Alacantra Gorges
","Reviewed September 17, 2012
",5.0,0.3,Reviewer
"London, United Kingdom",51.5112139,???,???,"
This was the most memorable part of our holiday to Catania. Our tour guide Paulo was an excellent host and made our trip really enjoyable and interesting.
","Reviewed September 16, 2012
",5.0,0.7,Reviewer
"Melbourne, Australia",???,???,"
On my recent trip to sicily one of the sights we visited was Mt Etna. As we had walked to the top of Mt Vesuvius in Naples I wasn't keen on seeing another volcano, the walk to the top of Mt Vesuvius put me off, but our guide assured me that was not the case in sicily. Well once I decided, the trip to the top was well worth it. You go up by cable car part of the way and then you transfer to special buses that take you the rest of the way on the volcanic soil. The feeling you get when you are there is one of absolute amazement it feels as though you are in another world.We walked around one of the craters( which by the way is still active) but if you decide to go to the top you need to take a coat of some sort as it gets very windy and cold.
","Reviewed September 14, 2012
",5.0,0.211255411255,Contributor
"Milan, Italy",???,???,"
If you plan a visit to Sicily you should definitely stop by. It is a once in a lifetime experience that everybody should live. You can organize the visit on your own: get to the bottom of the volcano (I drove from Nicolosi). Then buy a ticket for the first and second section of the climb: the first part is through a cable-way and the second with an off-road huge bus (pretty cool ride). You can also make the whole trip on foot but beware of the dust and the effort required. On the top the temperature is at least 15 degree lower than in the valley, and the view is astonishing if the weather is clear. The whole trip cost is about 60 euros but it's certainly worth it.
","Reviewed September 14, 2012
",5.0,0.219786096257,Top Contributor
"Bucharest, Romania",44.4325,26.1038889,"
We took the south route to Etna, the road up the mountain was amazing, we could see the lava flows on both sides of the road. We stopped at Rifugio Sapienza at 1900 m because we were not equipped to go further, but the views from there, especially from Silvestri Crater, were breathtaking.The landscape made me feel like I was on the Moon, it was one of a kind experience that I will never forget. Wear a jacket and sport shoes and maybe a cap because its windy up there. Be sure to go and see Etna if you come to Sicily, you will not regret it!
","Reviewed September 13, 2012
",5.0,0.395,Contributor
Gamlingay Sandy,52.155551,-0.19286,"
We had a guide just for the 4 of us, and a really lovely day out, stopping when and where we wanted to to take photos.
","Reviewed September 10, 2012
",5.0,1.0,Senior Reviewer
"Glasgow, Scotland",55.864237,-4.251806,"
Stunning views but can be cloudy. Wrap up! If you have a hire car do the trip yourself, and park up near the top. Cable car for 24 Euros each takes you near the top. It's 85 Euros for the bus up to near the sumit - troppo caro!
","Reviewed September 10, 2012
",5.0,0.35,Senior Contributor
Florida,27.6648274,-81.5157535,"
I went to the bottom of Mt. Etna and saw the memorial and the magma lava flow from the last volcanic eruption. &quot;The top of the volcano was covered in clouds. Beautiful town nearby and gorgeous drive from Messina to get to the site
","Reviewed September 10, 2012
",5.0,0.5125,Senior Contributor
"Stromboli, Italy",???,???,"
a pustule i think Goethe called it. <br /><br />not for him. i love this trip. the buses up top are great... and walking as near as you can to the action is good for the adrenalin!<br /><br />having been to both Stromboli and Vesuvius , neither trip i regret but Etna is an class of her own <br /><br />went to top (or as near as allowed) in '98 and '06 and we are there again soon
","Reviewed September 9, 2012
",5.0,0.427777777778,Top Contributor
Sheffield,53.381129,-1.470085,"
It's was an amazing trip up Etna. The volcano was booming!!!!<br />Awesome!<br />We polished it off with a visit to the Gambino vineyard.<br />Singing American 60's hits with drunk Italians was hilarious.<br />Brilliant fun.
","Reviewed September 7, 2012
",5.0,0.2,Contributor
"Omsk, Russia",54.9887422,73.3692654,"
We went there by car from Catania, the trip was enjoyable, roads not crowded and destination easy to find. We had no problems with parking at cable station parking altough it was high season and just 5-6 days after the eruption (July 2011). We're not fond of hiking so bought the tickets for cable car and then jeep trip to go to the top, the guide there spoke Italian, French, English, German, he took us to some craters, showed the consequences of the last eruption and answered some questions, so it was just OK and after that we could roam there on our own, and we did. Do take some warm clothes with you, it's rather cold and don't forget about comfortable hiking shoes (sandals and flip-flops won't do), but don't worry if you haven't they rent shoes and coats at the jeep station.<br />There are good souvenir shops around parking with a lot of staff made of lava (bracelets, earings, necklaces, rings, key rings, etc).<br />There are some decent places to eat on the site. Prices are average.
","Reviewed September 4, 2012
",4.0,0.192631578947,Senior Contributor
"Mutzig, France",48.536784,7.458621,"
On the day we visited Etna, it was very warm, and very very windy. We drove to Etna Sud, through fields of lava, with some fabulous views. There are a couple of craters at the parking level, which are free to walk round. We took the cable car for the first bit, to around 2600m which cost around 20€ per person. We had hoped to take the 4x4 for the last bit, up to the top (2900m), but we didn't for two reasons - one, our youngest has asthma - there are signs warning against going near the vents, with certain health conditions; and secondly, the cost - around 60€ per person! I'm sure it would be very interesting ( there is a guide too), but for a family of four or more, it's a bit pricey. <br />Definately worth a trip
","Reviewed September 1, 2012
",4.0,0.33319047619,Senior Reviewer
"Malmo, Sweden",55.604981,13.003822,"
We went up the north and south side of Mt Etna. The north side is not as touristy yet. You can see so much volcanic rock all over. It is a good experience without all the people. But you have to go to the south side to get the full experience.<br /><br />Yes, there are a lot of tourists. And it is expensive to go to the 3000 meter level, but it is well worth it. To walk around the craters and to imagine the power. The views are amazing. If you drive to the 2000 meter level, it is slow going with all the cars and buses. There is another road down that has less traffic and takes you to Nicolosi. I recomend this. As you reach Nicolosi, look to the left at a small restaurant-bar. It has outside seating and is a locals place. The best ice cream I have ever had! Try to find it. They do not speak english, but are so friendly.
","Reviewed August 31, 2012
",5.0,0.129351851852,Senior Contributor
"Hampshire, UK",51.0895203,-1.216844,"
You can see Mt Etna as soon as you land at Catania Airport, its an awesome sight and never becomes less so, our children were entranced by it. Would have loved to do an organised trip, but I dont think the children would really of appreciated or enjoyed it. So, we drove our hire car from Zafferana Etnea (where we were staying), to the quieter (and according to Lonely Planet) more picturesque side at Piano Provenzana. The route crossed lava fields, burnt out forests with amazing views. There wasnt much at the top, a few tourist souvenier kiosks, public toilets (not nice) and about 100m further up past the large public carpark, a pine chalet looking restaurant with a large outdoor terrace where we had a reasonable lunch. Apparently a company called STAR does 2 or 3 hour jeep and walking trips from here. From leaving our villa, to returning this trip, inc lunch took 4 hours.
","Reviewed August 29, 2012
",5.0,0.230595238095,Top Contributor
Italy,41.87194,12.56738,"
I enjoyed my trip to Etna, but I wasn't blown away by it. It consists of lots of craters in black gravel which you can walk around. Higher up (which you have to pay quite a bit to reach) you can see smoking craters and warm ground.<br />The area is full of tourist shops and diners.
","Reviewed August 29, 2012
",3.0,0.306666666667,Senior Contributor
Veenendaal,52.0234359,5.550247,"
We went by car and followed the &quot;Etna Sud&quot; road. This was on a monday morning around 9.30. Our drive was a very quiet one, we encountered 1 bus and 3 cars going up, so it wasn't crowdy at all. We parked at the Riffuggio Sapienza and went up with the cableway, where we took the big trucks for the last track up to 2900m. We had a little tour with a guide around the area, which was short. Afterwards we stayed on the slopes and made a big tour on our own, even our son of 11 was very impressed by the fact that the vulcano was still active..... We had lunch at the cableway station on 2600 m with a marvelous view. After going back down we walked up the craters from the 2001/2002 eruptions, which lay close to the parking area. Still not crowdy, we left at 16.00 not being bored for one moment: it's a must when in Sicily!!
","Reviewed August 26, 2012
",5.0,0.0896329365079,Senior Contributor
"Newcastle, United Kingdom",???,???,"
Fascinating, awesome to look at from afar. Visited a lava tunnel with the guides. Worth a trip<br />dislkes: When people are walking in front of you all the dust is kicked up. The cinders slip away from you when you are descending.<br />the cost and the queues of the cafes are horrendous
","Reviewed August 25, 2012
",4.0,0.666666666667,no status
"London, United Kingdom",51.5112139,-0.1198244,"
We went to mount Etna in August for a day trip from cefalu ( north Sicily). We chose the Etna Sud route because it seemed to have better logistics for tourists. We wanted to do a sunset tour but it was very difficult to get reliable information on details. We went to Taormina tourist info office and were told last fenicular leaves the station at 15.30 or 16.00. It turns out this is not true! (the last one leaves at 17.45 and from the top, the last departure is at 18.00). <br /><br />Anyway we went up by fenicular and the bus ( total 60.50- EUR) and this included a 45 min guided tour around one crater with s group. It was easy and interesting. A light jumper was enough for us ( and good shoes) so I do not think proper hiking gear and heavy clothing is necessary for this. When the bus took us down from the top, the fenicular closed so the bus took us down all the way to the station. <br /><br />Overall it was a great tour. It was surprising how difficult it was to find reliable info about this popular tourist destination, especially from the tourist office. Pretty sad really.
","Reviewed August 23, 2012
",5.0,0.137400793651,Contributor
London,???,???,"
We drove to the base station where you take the cable car up. Cost per person was 60 Euro for the cable car, the bus to the craters and the guide. It is a nice experience and although very windy on the day we visited, it was a relief given the heat at the base station. We wore teeshirts and shorts, but coats etc were available for colder times of the year.
","Reviewed August 22, 2012
",4.0,-0.08,Contributor
"Sheffield, United Kingdom",53.381129,-1.470085,"
Go up there - keep it cheap &amp; simple - guides were superb. We found half a day enough in the summer heat but want to go back longer in a spring or autumn break.
","Reviewed August 22, 2012
",5.0,0.205555555556,Senior Contributor
"Melbourne, Australia",???,???,"
We had plans in the following weeks to climb Stromboli however some nice views of Etna during our stay in Taormina were definitely desirable. Mist and poor weather generally meant we could not get as good views as we’d hoped. We later learnt that the night before we had to leave our stay in Taormina, Etna erupted in the early hours – unbeknown to us! We missed it! We more than made up for this thankfully not long after during our amazing Stromboli visit where eruptions are ofcourse a regularity and can be viewed at close proximity.
","Reviewed August 22, 2012
",4.0,0.240625,Top Contributor
"Canberra, Australia",???,???,"
We trekked on of the craters (Silvestri, destroyed after the 2001 eruption) - very fascinating and great views of the volcano!
","Reviewed August 20, 2012
",5.0,1.0,Senior Contributor
,???,???,"
A great day trip with breathtaking views. <br />Despite what some of the tour guides say in the summer you do not need winter clothes or trecking shoes to reach 2900metres (providing you are using the cable car and a jeep). <br />Well worth visiting.
","Reviewed August 20, 2012
",5.0,0.7,Contributor
"Bucharest, Romania",44.4325,26.1038889,"
I went twice, in two different excursions. The first was by bus with a group of turist. Very nice for a first time. The second time I visited Etna with a friend and we took the off road trip that you can book from any hotel you stay in. It was great! We traveled by Jeep and the guide was excellent. He tooks us through the forest and off-road areas. We even visited a canion and a volcanic cave. It was wonderfull!
","Reviewed August 20, 2012
",5.0,0.4775,no status
London,???,???,"
We did a sunset tour so not only was it cooler, it was less overrun with tourists. We found an independent guide, Francesca Lugano who tailored the tour to what we wanted to see.
","Reviewed August 20, 2012
",5.0,-0.0555555555556,Top Contributor
Paris,???,???,"
The natural beauty of Sicily. Truly Amazing<br />I would recommend that you take a guided tour to visit, Davide's tour was really informative and we truly experienced Mamma Etna with his combination of geological and cultural knowledge!
","Reviewed August 19, 2012
",5.0,0.30625,Senior Reviewer
